feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3,val_imp_4
dias_en_portal,5526.639408527641,11545.547068577062,1430.560545126733,3717.6863932597917,28001.587997170107,-1336.396208202932,-4180.241684715496
ciudad_Manalapan,5178.382716125401,10974.543255329876,3340.2222737548873,6800.330030070618,24923.15047029202,-7383.695059891557,-1788.0941335989628
ciudad_Santa Rosa Beach,892.7755680993432,748.1581041265799,-54.102619211014826,921.3791373088607,161.63193467626115,1774.2516787666827,1660.7177089559264
ciudad_Ponte Vedra Beach,850.8325217812904,590.8209246310976,1702.8686051215627,1155.1462044961518,-100.65116819611285,733.0982868667925,763.700680618058
ciudad_Clearwater,739.5393929662532,1507.1721362765516,3544.1244475269923,-332.6059941313579,1056.0381252326188,-552.6987857148633,-17.16082808212377
ciudad_Webster,666.2957065862953,818.5741315491063,1762.3330013799132,0.0,-296.6025372753502,1496.686630160897,369.06143866601633
ciudad_Islamorada,653.5783184163854,864.8923652151112,456.9923608323443,1896.596368183149,442.5737723003258,1174.7366334298276,-703.0075426637195
ciudad_Winter Garden,630.7860255015781,943.0962221368353,2352.3031306095654,868.8808352567139,236.61557132267626,0.0,-303.869409681065
ciudad_Highland Beach,614.2683199041523,1411.898854796055,1765.765405231563,629.0465648734244,-2055.9789128252887,1802.1108537697583,930.3976884713047
ciudad_Tallahassee,588.0880680466886,1176.1761360933772,2940.440340233443,0.0,0.0,0.0,0.0
ciudad_Coral Gables,497.6290748937405,1150.077087739445,-1529.7341758378898,874.5440472745686,1306.5130860828795,1740.8196655247011,96.00275142444298
tipo_vivienda_MANUFACTURED,483.6853588347323,590.6780412483388,216.34564987121848,1345.434436278767,454.39542726572836,-419.3108432845911,821.5621240425389
ciudad_Golden Oak,440.13621380521215,354.57376850796834,920.2222330610966,456.0057654353441,93.94947749865241,730.5035930309677,0.0
es_constructor_premier,419.0002148471307,945.0161349743507,2301.5289990837337,-8.895818177727051,-214.07374123332556,9.920443034847267,6.5211915281252
url_tour_virtual_tercero_aprobado,410.2686742206803,1414.2103255004413,3161.147710317513,-2.635971742332913,-899.7354442308424,-197.67463256424526,-9.758290676691104
ciudad_Port Saint Joe,403.0630366542726,881.0448697214504,-2.6682006927439943,-502.5371310012415,1760.2296498426585,1105.9274806266185,-345.6366155039286
ciudad_Jacksonville Beach,391.72598868398927,1109.090484372927,1101.4102931642556,1024.9702771935845,1655.0132890603854,-555.2338659310481,-1267.530050067231
ciudad_Indian Rocks Beach,386.8494636063348,1454.0491629442952,2135.417352740071,1280.1287069921382,-1155.0289148932789,1203.1561990110786,-1529.426025818335
ciudad_Sunny Isles Beach,324.8980780032231,1164.3241280107352,165.42880130111007,244.6776519935229,666.831424113363,2093.699649456772,-1546.1471368486527
ciudad_Marco Island,306.2866526339203,970.5270761942606,1488.1525127248024,-428.9562433983083,-1090.2849064510083,350.78928181360243,1211.7326184805133
ciudad_Davenport,300.10712225257885,600.2142445051577,1500.5356112628942,0.0,0.0,0.0,0.0
ciudad_Palm Beach Gardens,278.2950637534959,837.0660737171098,783.70725854591,1150.66656027094,376.2323217659723,373.6382489554235,-1292.7690707707661
ciudad_Indian Lake Estates,259.51529644256226,251.67285193527647,435.4047842301079,582.1362460258533,-115.9248062359984,326.7168927695602,69.2433654232882
ciudad_Center Hill,254.500389104418,561.9210694425456,363.45980688161217,1281.7846494173282,-356.79025861038826,-15.95225216646213,0.0
extracted_dimension_MultiFamily,243.84877077703132,2638.075826996876,2231.4831053347443,2197.4157385565923,0.0,-4777.794253817876,1568.1392638116959
ciudad_Coconut Grove,232.00372879168717,302.73714272442436,745.1697161804186,0.0,414.84892777801724,0.0,0.0
ciudad_Clermont,201.71759656596697,403.4351931319339,0.0,1008.5879828298348,0.0,0.0,0.0
ciudad_Westville,189.53788805954392,622.5028054933482,0.0,0.0,-782.363542258623,930.3617643100442,799.6912182462984
ciudad_Bonita Springs,189.5099508981686,1265.4424272431834,2668.4775688988157,-2.3507800410152413,-805.2234443761408,-460.0341266934993,-453.31946329731727
ciudad_Freeport,188.8590934876469,1384.7404528986676,2688.005841772654,0.0,-167.82869496027706,9.124397757579572,-1585.0060771317221
ciudad_Boca Grande,185.28046320781579,2087.077792984737,2027.8692095479928,446.86958679155214,-1209.9656947595067,2669.6438099733205,-3008.01459551428
ciudad_Fernandina Beach,182.45651188989868,730.2042847524929,-237.299798890308,1140.4964431563858,-423.4954906483763,991.6900460509933,-559.1086402192013
ciudad_Dunnellon,178.30798470939044,578.1069535467994,1014.1010124898748,568.8366914287326,-691.3977803716552,0.0,0.0
ciudad_Neptune Beach,177.65109078903916,216.696655732426,0.0,68.4113983392599,0.0,248.93368017830653,570.9103754276293
ciudad_Plant City,173.73783161730972,347.47566323461945,0.0,0.0,868.6891580865486,0.0,0.0
ciudad_Duck Key,169.79710047909757,335.5758851407225,0.0,0.0,840.9197906996123,0.0,8.065711695875507
ciudad_Stuart,155.68511327452725,311.37022654905445,778.4255663726362,0.0,0.0,0.0,0.0
ciudad_Sewalls Point,153.92479081461207,352.9678102719136,855.1609676094376,42.31873610627372,-72.01735164847923,-55.83839799417183,0.0
ciudad_Tierra Verde,147.64138042317936,694.0429810481517,672.7744472303311,-311.1193923666142,-948.2898765786667,353.2356714538182,971.6060523770284
ciudad_Oxford,135.24518786449917,234.2230231465811,0.0,0.0,0.0,599.9503873041831,76.27555201831274
ciudad_Ellenton,124.9173133174656,1163.435122713497,1214.6062053706264,337.9692130155163,1089.365645372949,0.0,-2017.3544971717638
ciudad_North Redington Beach,116.88561542269308,322.12485394669676,0.0,3.7046261889627203,-305.3840152872144,668.0726225667167,218.03484364500036
ciudad_Ave Maria,116.05842706490075,282.448342287628,647.0431118592969,-183.94189841637854,117.19092188158538,0.0,0.0
ciudad_Kissimmee,113.77165271171835,180.31982117123147,0.0,-84.15108985971892,267.3264687714982,385.68288464681245,0.0
ciudad_Hollywood,110.08924702766816,646.4398593264588,-825.1093361793319,-123.03571504750289,743.1198692394537,-177.45875973301008,932.930176858732
ciudad_Hialeah,103.55032378486358,727.179703568832,0.0,-970.0165089906659,173.83760740427533,0.0,1313.9305205107084
ciudad_Windermere,102.46307507933815,1288.8825010489352,-582.8705778761068,329.400781493925,1273.854883363063,1500.7539137097192,-2008.8236252939096
ciudad_Deland,98.79807081604376,382.74444004477783,-167.8490160346846,0.0,847.6801991304383,0.0,-185.84082901553484
ciudad_Mexico Beach,74.16833769571967,148.75072128353344,371.6690899193054,0.0,0.0,0.0,-0.8274014407070354
ciudad_Defuniak Springs,67.96244472627295,820.5428889261028,-1389.8025484416867,0.0,264.06518828030676,1129.2267396200332,336.3228441727115
ciudad_North Bay Village,66.11521656630794,921.0325339421471,1362.2952193915844,-797.8639248887193,0.0,816.7697527282871,-1050.6249643996125
ciudad_Interlachen,64.31449571973644,128.62899143947288,0.0,0.0,321.5724785986822,0.0,0.0
ciudad_Indian Shores,58.03227784414776,743.1556291397887,0.0,-147.01735165610444,321.3185954983928,1208.2927641533315,-1092.4326187748811
ciudad_Hudson,52.8494911332964,537.7922621595576,0.0,-582.7626804436441,929.2357170723844,-397.19989153614733,314.97431057388894
ciudad_Ponce Inlet,49.48835328788264,98.97670657576528,0.0,0.0,0.0,247.4417664394132,0.0
ciudad_Avon Park,39.08484822534956,518.5414489531951,476.7707937625237,-862.680249466619,0.0,-34.57326448283857,615.9069613136817
